Timestamp(ms),Current(uA)
42122.23,394.224
42122.24,395.121
42122.25,397.810
42122.26,400.948
42122.27,402.294
42122.28,401.397
42122.29,399.155
42122.3,399.155
42122.31,399.603
42122.32,397.810
42122.33,396.017
42122.34,391.087
42122.35,391.984
42122.36,386.608
42122.37,387.504
42122.38,386.608
42122.39,384.816
42122.4,380.338
42122.41,381.234
42122.42,377.652
42122.43,377.652
42122.44,372.730
42122.45,369.598
42122.46,368.256
42122.47,364.231
42122.48,362.889
42122.49,362.889
42122.5,361.548
42122.51,357.525
42122.52,356.184
42122.53,355.737
42122.54,358.419
42122.55,356.631
42122.56,357.525
42122.57,354.844
42122.58,352.610
42122.59,351.269
42122.6,352.163
42122.61,356.184
42122.62,357.972
42122.63,358.419
42122.64,361.548
42122.65,365.572
42122.66,370.940
42122.67,372.730
42122.68,374.072
42122.69,373.177
42122.7,372.282
42122.71,376.310
42122.72,374.967
42122.73,378.100
42122.74,379.891
42122.75,383.473
42122.76,387.951
42122.77,390.191
42122.78,393.776
42122.79,397.810
42122.8,403.639
42122.81,406.779
42122.82,409.022
42122.83,407.676
42122.84,407.676
42122.85,410.817
42122.86,413.060
42122.87,417.549
42122.88,414.856
42122.89,416.202
42122.9,415.753
42122.91,416.651
42122.92,413.060
42122.93,406.779
42122.94,406.330
42122.95,407.227
42122.96,405.433
42122.97,410.368
42122.98,412.163
42122.99,409.022
42123,406.779
42123.01,400.948
42123.02,397.810
42123.03,397.810
42123.04,394.672
42123.05,391.984
42123.06,394.224
42123.07,394.224
42123.08,390.191
42123.09,390.191
42123.1,388.399
42123.11,383.920
42123.12,386.160
42123.13,386.608
42123.14,387.056
42123.15,385.712
42123.16,385.264
42123.17,382.129
42123.18,382.577
42123.19,382.577
42123.2,381.682
42123.21,377.652
42123.22,378.100
42123.23,379.891
42123.24,377.205
42123.25,374.520
42123.26,372.282
42123.27,371.387
42123.28,370.493
42123.29,369.150
42123.3,366.467
42123.31,363.336
42123.32,363.784
42123.33,363.336
42123.34,365.572
42123.35,366.020
42123.36,367.361
42123.37,365.572
42123.38,361.548
42123.39,363.336
42123.4,364.231
42123.41,363.336
42123.42,366.467
42123.43,369.150
42123.44,370.045
42123.45,369.598
42123.46,368.703
42123.47,369.598
42123.48,374.072
42123.49,377.205
42123.5,378.995
42123.51,380.338
42123.52,382.577
42123.53,384.816
42123.54,385.264
42123.55,387.951
42123.56,391.087
42123.57,389.743
42123.58,391.536
42123.59,390.191
42123.6,391.984
42123.61,394.672
42123.62,399.603
42123.63,401.397
42123.64,403.191
42123.65,403.639
42123.66,403.639
42123.67,400.500
42123.68,403.191
42123.69,404.536
42123.7,407.227
42123.71,408.125
42123.72,407.227
42123.73,406.779
42123.74,404.984
42123.75,402.742
42123.76,400.500
42123.77,398.707
42123.78,396.465
42123.79,395.121
42123.8,389.295
42123.81,387.056
42123.82,386.608
42123.83,381.682
42123.84,379.891
42123.85,378.100
42123.86,377.205
42123.87,374.072
42123.88,376.310
42123.89,372.730
42123.9,372.282
42123.91,368.703
42123.92,366.020
42123.93,362.442
